"ID_Venda";"Data";"ID_Produto";"ID_Vendedor";"ID_Cliente";"Qtd";"Valor_Total"
1;"2025-10-01";"P01";"V01";"C01";5;250.0
2;"2025-10-30";"P05";"V05";"C01";5;3000.0
3;"2025-09-18";"P07";"V03";"C02";2;1000.0
4;"2025-10-05";"P02";"V01";"C01";4;3800.0
5;"2025-11-22";"P10";"V05";"C02";1;60.0
6;"2025-12-03";"P04";"V02";"C01";5;6000.0
7;"2025-09-27";"P01";"V04";"C02";3;150.0
8;"2026-01-10";"P08";"V01";"C01";2;1400.0
9;"2025-10-19";"P06";"V03";"C02";4;3400.0
10;"2025-11-08";"P03";"V02";"C01";1;150.0
11;"2026-01-22";"P09";"V05";"C02";5;500.0
12;"2025-12-15";"P05";"V04";"C01";2;1200.0
13;"2025-09-09";"P10";"V02";"C02";3;180.0
14;"2025-11-30";"P01";"V05";"C01";4;200.0
15;"2026-01-05";"P06";"V03";"C02";1;850.0
